Sample,H1,MP,N1,NP,NS,PA,PB1,PB2
CA04_ferret01_day01_rep1,10213.5,12773.0,12861.0,15564.0,11278.0,16879.0,16415.0,15264.0
CA04_ferret01_day01_rep2,54088.0,43107.5,11.0,71776.5,31572.0,31598.0,51857.5,48660.0
CA04_ferret01_day03_rep1,6802.0,32225.5,18005.0,17990.0,19741.5,13212.5,17550.0,17242.0
CA04_ferret01_day03_rep2,97718.0,86999.5,216190.0,59999.5,77890.5,103983.0,51195.5,90907.5
CA04_ferret01_day05_rep1,7534.0,19734.0,15265.5,15645.0,15694.0,15318.0,10833.0,16252.0
CA04_ferret01_day05_rep2,30875.5,20810.0,41433.5,33386.5,16620.0,45806.5,42430.0,46067.0
CA04_ferret02_day01_rep1,9021.0,12630.5,13248.0,14727.5,15302.5,9739.0,115.0,365.0
CA04_ferret02_day01_rep2,14346.0,31651.5,11.0,35135.0,21910.5,38169.5,36609.0,35374.0
CA04_ferret02_day03_rep1,13339.5,31620.0,29116.0,21506.5,30434.0,2137.0,0.0,11.0
CA04_ferret02_day03_rep2,72360.5,57165.0,3895.0,53317.0,34256.0,79322.5,52664.0,70757.0
CA04_ferret02_day05_rep1,13605.0,25528.0,24199.0,22164.5,21321.0,658.0,12.0,32.0
CA04_ferret02_day05_rep2,55014.0,73924.0,15.0,71610.0,48188.0,76539.0,54680.5,54786.5
CA04_ferret03_day01_rep1,1944.5,16048.0,15123.5,12343.5,14811.0,18968.0,20372.0,19632.5
CA04_ferret03_day01_rep2,20972.0,18321.0,23067.5,18125.5,21016.0,25465.0,82134.5,27107.5
CA04_ferret03_day03_rep1,5333.0,21169.5,16813.5,14738.0,21373.0,15168.0,14116.0,21182.5
CA04_ferret03_day03_rep2,22541.0,40691.0,76.0,17956.0,25606.5,47895.5,41336.0,43476.5
CA04_ferret03_day05_rep1,7581.0,15748.5,14253.0,15825.0,14028.0,10440.0,10669.0,15757.5
CA04_ferret03_day05_rep2,9434.0,9940.0,96933.0,29207.0,10344.5,8940.0,9946.0,11636.0
CA04_ferret04_day03_rep1,57.0,28853.0,26908.5,23390.5,29183.0,1497.0,4.0,12.0
CA04_ferret04_day03_rep2,34670.5,44217.0,3997.0,32442.0,34837.0,53815.0,16575.0,50643.0
CA04_ferret04_day05_rep1,463.0,47030.0,45031.0,33468.0,38955.5,423.0,15.0,1088.0
CA04_ferret04_day05_rep2,37824.0,51721.0,286.0,49863.5,30447.5,59737.5,60452.0,48560.5
