Sample,H7,MP,N9,NP,NS,PA,PB1,PB2
Anhui_ferret25_day01_rep1,63815.0,61946.5,62840.0,61904.0,70643.0,62339.5,71115.5,75309.0
Anhui_ferret25_day01_rep2,51521.0,52455.5,42314.0,58125.0,35333.5,45451.0,47626.0,58106.0
Anhui_ferret25_day03_rep1,51254.5,59859.5,75032.0,80818.0,51867.0,45009.0,65142.5,69213.0
Anhui_ferret25_day03_rep2,58794.5,71295.0,58584.0,70583.0,44175.0,49462.0,64648.5,66915.0
Anhui_ferret25_day05_rep1,57691.5,75261.5,75176.5,78603.0,54500.0,54989.5,72982.0,70100.5
Anhui_ferret25_day05_rep2,36101.0,32018.0,43782.5,47520.5,36447.0,57274.5,42693.5,34538.5
Anhui_ferret25_day07_rep1,2853.0,69478.5,92882.0,106059.5,70691.0,47586.5,27434.0,71276.5
Anhui_ferret25_day07_rep2,22137.5,55271.5,50328.5,87001.0,53626.0,62625.0,69121.0,69370.5
Anhui_ferret27_day01_rep1,40869.0,38784.0,58782.5,67180.0,41002.5,41766.5,45915.0,51689.5
Anhui_ferret27_day01_rep2,78187.0,67747.5,88251.0,122967.5,60718.0,72843.5,93597.0,114877.5
Anhui_ferret27_day03_rep1,61201.5,70987.0,73841.0,82968.5,48698.5,50481.0,77243.0,68921.5
Anhui_ferret27_day03_rep2,39397.5,53945.0,44198.0,61961.0,35934.5,43917.5,55778.5,52635.5
Anhui_ferret27_day05_rep1,56528.5,63779.0,66828.0,75097.5,54694.0,48264.5,66330.5,73253.0
Anhui_ferret27_day05_rep2,46348.5,44780.0,47435.0,60288.5,37982.0,36264.0,139400.0,65232.0
Anhui_ferret27_day07_rep1,42842.0,75145.5,64584.5,87034.0,54432.5,26129.5,76399.0,67693.0
Anhui_ferret27_day07_rep2,95803.5,41274.0,48303.0,110355.0,44491.5,51953.5,84768.0,80159.0
Anhui_ferret28_day03_rep1,96745.5,79220.0,112819.5,115432.0,78657.5,58108.0,104683.5,114611.0
Anhui_ferret28_day03_rep2,40685.0,34828.5,29344.5,48970.5,28764.0,32983.5,43137.0,39668.5
Anhui_ferret28_day05_rep1,69783.5,53967.0,60184.0,86184.0,55210.0,62242.0,74587.0,77062.0
Anhui_ferret28_day05_rep2,49717.0,47911.0,59643.5,77241.0,63787.5,49327.0,74294.5,69207.5
Anhui_ferret28_day07_rep1,61915.0,58502.5,72354.0,88645.0,62391.5,58645.0,74864.5,76501.5
Anhui_ferret28_day07_rep2,57999.0,50072.5,45550.5,57002.5,46514.0,50626.0,57402.0,72277.5
Anhui_ferret29_day01_rep1,56210.0,67415.0,46208.0,77160.5,91539.5,59530.0,70317.5,88746.0
Anhui_ferret29_day01_rep2,56206.0,35694.0,54146.5,50272.5,30058.5,41180.5,51488.5,55165.0
Anhui_ferret29_day03_rep1,61424.5,53459.5,72486.5,100607.5,60057.5,51673.5,77962.5,93162.5
Anhui_ferret29_day03_rep2,68738.0,79950.5,86332.0,90380.5,81773.0,66967.0,82220.0,93641.5
Anhui_ferret29_day05_rep1,38594.5,54683.5,50271.5,67021.5,43752.5,44171.0,53818.0,60836.0
Anhui_ferret29_day05_rep2,85100.5,79385.5,74888.0,106144.5,70133.5,101853.0,60601.0,91686.5
Anhui_ferret29_day07_rep1,34752.5,56640.5,62429.5,65963.0,46816.0,32053.5,81205.0,40398.0
Anhui_ferret29_day07_rep2,33638.0,51057.5,55374.0,67527.0,47966.0,30399.5,52398.5,57040.0
Anhui_ferret31_day01_rep1,37378.5,43399.0,48534.5,52201.5,29073.0,34919.0,41622.5,50823.5
Anhui_ferret31_day01_rep2,63182.0,58185.0,68675.5,83356.0,67772.0,82797.0,80078.0,80736.0
Anhui_ferret31_day03_rep1,62525.0,79442.5,67434.5,85998.0,48789.5,64100.5,,74885.5
Anhui_ferret31_day03_rep2,58313.0,42449.5,56409.0,60551.5,39260.0,49639.5,,66048.0
Anhui_ferret31_day05_rep1,46719.5,60570.5,58033.0,81867.5,44659.0,45954.0,60450.0,72460.5
Anhui_ferret31_day05_rep2,24035.5,197675.5,36813.5,67126.0,126425.5,16867.0,16441.5,18002.0
