Sample,H7,MP,N9,NP,NS,PA,PB1,PB2
rGD3_ferret09_day01_rep2,63385.5,68289.0,47692.5,42858.0,50177.0,41509.5,40344.0,57413.0
rGD3_ferret09_day03_rep2,80119.5,70283.5,89470.0,66234.5,56703.0,64731.5,27599.0,51216.0
rGD3_ferret09_day05_rep2,13663.5,76120.5,64063.5,96986.0,52645.0,42862.0,80127.5,57626.5
rGD3_ferret09_day07_rep2,60282.5,70483.5,47287.5,59981.0,46858.5,59425.0,73843.0,62603.0
rGD3_ferret10_day03_rep2,46059.5,48963.5,36654.0,57040.5,41819.0,55661.0,64369.5,60454.5
rGD3_ferret10_day05_rep2,52993.0,54205.0,59931.0,72591.5,64107.5,57006.0,72618.0,80383.5
rGD3_ferret10_day07_rep2,58354.5,74408.5,64948.5,77719.5,64534.5,69322.0,71907.5,83803.0
rGD3_ferret10_day09_rep2,74056.0,85108.0,51986.0,71025.5,64176.0,57060.0,92756.0,86962.0
rGD3_ferret11_day01_rep2,49527.0,65287.5,55639.5,70235.0,54876.5,58390.0,75105.5,83147.0
rGD3_ferret11_day03_rep2,44846.0,63239.0,46055.5,66054.0,56779.0,57644.0,71588.5,65666.0
rGD3_ferret12_day03_rep2,44012.0,65196.0,58039.0,57694.5,56164.0,54162.5,65322.0,67627.5
rGD3_ferret12_day05_rep2,66560.0,82732.5,84662.5,101436.0,79904.5,84498.5,99962.5,100492.5
rGD3_ferret13_day01_rep2,70328.0,91572.0,71187.0,100200.5,76545.5,91332.0,99614.0,89771.0
rGD3_ferret13_day03_rep2,70239.5,104267.5,73193.5,104749.0,73434.5,88323.0,98908.0,68046.0
rGD3_ferret13_day05_rep2,65246.0,94039.5,70005.0,85837.5,57069.5,89086.0,75945.0,80071.5
rGD3_ferret15_day01_rep2,40117.0,61179.0,49864.5,66100.0,41317.0,52122.0,61540.0,64754.0
rGD3_ferret15_day03_rep2,44873.5,55392.5,60100.5,62938.5,44925.0,47306.5,63077.5,68872.5
rGD3_ferret15_day05_rep2,43939.5,30864.5,42727.5,65059.0,32356.5,45052.5,70273.5,51580.5
rGD3_ferret15_day07_rep2,25922.0,25880.5,18230.0,27252.5,21050.5,,24917.5,34269.0
rGD3_ferret16_day03_rep2,47188.5,58386.0,60994.5,60237.0,47917.5,55784.0,63176.5,81644.0
rGD3_ferret16_day05_rep2,45171.0,56377.0,54323.0,58031.5,43762.0,60681.5,72320.5,63594.5
rGD3_ferret16_day07_rep2,52380.5,60634.5,41638.0,61038.0,50128.5,57011.0,61675.5,72611.5
rGD3_ferret17_day01_rep2,44925.5,74296.5,47036.0,78270.5,53838.0,65661.0,70004.0,78503.0
rGD3_ferret17_day03_rep2,58832.5,65241.0,45967.5,76527.5,56858.0,75028.0,92965.0,70421.5
rGD3_ferret17_day05_rep2,47244.5,62137.0,38454.5,73569.0,51064.0,61086.0,74585.0,80982.0
rGD3_ferret17_day07_rep2,31093.0,48989.5,34608.5,52621.5,37610.0,37774.5,52316.0,63289.5
rGD3_ferret18_day11_rep2,69820.5,62350.5,32965.0,60777.0,37184.0,103714.5,,47457.0
rGD3_ferret18_day13_rep2,43399.0,45322.0,46735.0,58121.0,41993.0,43949.5,59364.0,60696.5
rGD3_ferret18_day15_rep2,55016.5,51110.0,51472.5,59201.0,44497.5,48942.5,58751.0,82788.5
rGD3_ferret19_day01_rep2,37043.5,48450.5,37679.5,59456.0,34967.5,43813.5,54253.0,51669.0
rGD3_ferret19_day03_rep2,53271.0,64786.5,58098.5,75910.0,47831.5,59279.0,75387.5,76390.5
rGD3_ferret19_day05_rep2,13723.0,22383.0,19306.5,24323.5,15323.0,15589.0,748314.5,18267.0
rGD3_ferret21_day01_rep2,40458.5,42972.0,51960.0,64109.0,50333.5,51357.0,55375.5,58005.0
rGD3_ferret21_day03_rep2,50436.5,62662.0,60558.0,72496.0,46964.5,86253.0,72539.5,77580.5
rGD3_ferret21_day05_rep2,52467.0,59505.0,65820.0,76121.0,52814.0,68230.5,64668.5,77913.0
rGD3_ferret22_day03_rep2,48622.0,55319.5,55244.0,53943.5,54419.0,47777.5,56299.0,58595.5
rGD3_ferret22_day05_rep2,58317.0,49751.5,48289.5,57467.5,47604.0,46098.5,66524.5,87536.0
rGD3_ferret22_day07_rep2,68470.0,91957.0,75933.0,89006.5,58183.0,67804.5,87306.5,103514.5
rGD3_ferret22_day09_rep2,74847.0,64133.0,79262.5,94955.0,55340.0,,69772.5,95199.5
rGD3_ferret23_day01_rep2,48847.0,72437.5,59196.5,81476.5,41422.5,51878.5,62034.5,68249.0
rGD3_ferret23_day03_rep2,61112.5,69459.5,62187.5,89601.0,56612.5,66815.5,86978.5,83451.0
rGD3_ferret23_day05_rep2,41395.5,34616.0,46765.0,51358.5,36279.0,49695.0,58195.5,58631.0
rGD3_ferret23_day07_rep2,47852.5,48965.5,36782.5,65323.5,38564.5,,42332.5,64934.0
