bins	day1	day3	day5	day7
1-10%	0.7160493827160493	0.7752808988764045	0.76	0.7941176470588235
10-20%	0.09876543209876543	0.06741573033707865	0.12	0.058823529411764705
20-30%	0.04938271604938271	0.0449438202247191	0.013333333333333334	0.029411764705882353
30-40%	0.037037037037037035	0.033707865168539325	0.04	0.014705882352941176
40-50%	0.012345679012345678	0.0	0.013333333333333334	0.029411764705882353
50-60%	0.012345679012345678	0.0	0.0	0.014705882352941176
60-70%	0.0	0.011235955056179775	0.013333333333333334	0.0
70-80%	0.0	0.0	0.0	0.014705882352941176
80-90%	0.037037037037037035	0.033707865168539325	0.04	0.04411764705882353
90-99%	0.037037037037037035	0.033707865168539325	0.0	0.0
