Sample,H7,MP,N9,NP,NS,PA,PB1,PB2
GD3_ferret01_day01_rep1,11368.5,12306.0,11159.0,14727.0,11524.5,14764.0,17495.0,18661.0
GD3_ferret01_day01_rep2,56653.5,57559.0,59946.0,70574.5,49277.0,59583.0,74510.0,80925.0
GD3_ferret01_day03_rep1,10500.0,13060.0,11175.0,16635.5,9226.0,13156.5,15602.5,21385.0
GD3_ferret01_day03_rep2,46646.5,47340.5,48121.5,56553.0,51649.0,48709.5,63757.0,70896.0
GD3_ferret01_day05_rep1,3020.0,3153.0,90995.0,2792.0,2973.5,5942.0,4375.0,3220.0
GD3_ferret01_day05_rep2,73816.0,73438.0,70999.5,92412.5,39082.0,52210.0,83294.0,83359.0
GD3_ferret01_day07_rep1,14608.0,12866.5,439.0,15620.5,12776.5,7249.5,17569.0,16423.5
GD3_ferret01_day07_rep2,66022.0,68878.0,180.0,75265.5,68190.5,47617.5,65151.0,71257.0
GD3_ferret03_day01_rep1,14821.0,14401.0,12383.5,21087.0,15905.5,15775.5,22802.5,19604.5
GD3_ferret03_day01_rep2,55424.0,68981.5,74909.5,73482.5,68061.0,70795.0,84757.5,83822.5
GD3_ferret03_day03_rep1,13969.5,16756.0,15120.0,17938.5,13579.5,19291.5,16411.5,24237.5
GD3_ferret03_day03_rep2,56176.0,68838.0,68470.0,80982.0,77276.0,49323.0,77941.0,97296.0
GD3_ferret03_day05_rep1,19845.0,22514.5,16483.0,22973.0,19500.0,22427.5,25630.0,39335.5
GD3_ferret03_day05_rep2,48505.0,57290.0,51111.0,68047.5,70989.5,93308.0,73250.0,107950.5
GD3_ferret03_day07_rep1,17162.5,18503.0,15158.5,24768.0,16814.5,22283.5,26571.0,24141.5
GD3_ferret03_day07_rep2,29694.5,33926.5,23677.5,43543.5,34086.0,36265.5,36331.0,38959.0
GD3_ferret04_day05_rep1,62252.5,103409.5,89288.5,86267.5,73828.5,60938.0,85342.0,94591.5
GD3_ferret04_day05_rep2,27387.0,33585.5,35211.0,36341.0,29396.5,32018.5,37136.5,42893.5
GD3_ferret04_day07_rep1,19388.0,75839.0,28418.5,36110.5,11445.0,22498.0,30802.5,34399.0
GD3_ferret04_day07_rep2,61663.0,83983.5,42886.0,87449.0,56735.0,70909.0,93703.0,92264.5
GD3_ferret04_day09_rep1,53303.0,67460.5,64133.0,69100.5,77407.0,59187.5,81637.0,72248.5
GD3_ferret04_day09_rep2,49752.0,57224.0,19780.0,71679.5,53887.5,32942.0,67480.5,70273.5
GD3_ferret04_day11_rep1,51629.5,65337.5,66493.0,73482.0,44890.0,53178.0,86795.5,71928.5
GD3_ferret04_day11_rep2,64417.5,97842.0,3372.0,60622.0,78482.5,25208.0,106360.0,115616.5
GD3_ferret05_day01_rep1,17914.5,22142.0,17667.5,22592.0,21604.5,21317.0,17835.0,21992.5
GD3_ferret05_day01_rep2,54402.5,69471.0,51801.0,66845.5,51815.0,62249.0,74237.0,79954.0
GD3_ferret05_day03_rep1,14857.5,15760.0,14699.5,22525.5,15115.0,18206.0,21204.0,21535.0
GD3_ferret05_day03_rep2,69873.5,137605.0,65203.5,93872.5,74625.5,77410.5,134465.0,86677.5
GD3_ferret05_day05_rep1,12228.0,14139.0,10356.5,20357.0,11882.5,14497.5,17369.5,25625.0
GD3_ferret05_day05_rep2,41707.0,80666.5,78143.5,52205.0,77052.5,43403.0,46083.0,104853.0
GD3_ferret05_day07_rep1,16604.0,14318.5,,24157.5,16250.0,,30558.0,21836.5
GD3_ferret05_day07_rep2,26273.0,70491.5,,95430.0,81121.5,,19730.0,130036.0
GD3_ferret07_day01_rep1,15624.0,14793.5,7922.5,19835.5,11604.0,15664.0,23293.0,16718.5
GD3_ferret07_day01_rep2,213479.5,50836.5,52088.0,75166.0,63930.5,49784.0,3383.0,85745.0
GD3_ferret07_day03_rep1,23396.5,20205.0,17515.5,27615.0,21685.0,26265.0,29461.5,31137.0
GD3_ferret07_day03_rep2,44253.5,79656.0,61759.0,73421.5,77227.5,71308.5,80566.0,70142.5
GD3_ferret07_day05_rep1,8650.5,10218.0,7869.0,14453.5,10237.0,11584.5,14783.5,15049.0
GD3_ferret07_day05_rep2,41661.0,58736.0,43454.0,65786.5,61943.5,38458.5,25471.5,46485.0
GD3_ferret07_day07_rep1,16061.0,14549.5,15610.5,21394.5,15477.0,24631.5,19671.5,19017.0
GD3_ferret07_day07_rep2,70438.5,86723.0,26082.5,87514.5,71996.0,78198.5,104812.5,15181.0
