Sample,H7,MP,N9,NP,NS,PA,PB1,PB2
rGD3_ferret09_day01_rep1,18966.5,17471.5,18418.5,21287.0,16464.5,22354.5,25900.0,22247.0
rGD3_ferret09_day03_rep1,19649.5,16646.5,313.0,31172.0,14906.5,9074.5,26094.5,27566.0
rGD3_ferret09_day05_rep1,1824.0,16976.5,16006.0,34307.5,14665.0,22882.5,22712.5,35552.0
rGD3_ferret09_day07_rep1,20641.0,17682.0,14536.5,21313.0,15453.5,22251.0,26113.5,24703.0
rGD3_ferret10_day03_rep1,62185.0,73045.0,74707.0,82750.0,68927.5,62135.5,90206.5,84553.0
rGD3_ferret10_day05_rep1,73137.5,135630.0,83709.0,123686.0,84247.0,85054.5,112890.5,126507.0
rGD3_ferret10_day07_rep1,60046.5,67996.5,62269.5,70739.0,53073.0,55709.0,65075.5,67425.5
rGD3_ferret10_day09_rep1,47568.5,44364.5,51900.5,50817.0,41780.5,42281.0,59016.5,56406.0
rGD3_ferret11_day01_rep1,17660.5,17216.5,16635.0,20460.0,15101.0,24183.0,28087.0,26385.5
rGD3_ferret11_day03_rep1,13400.5,16070.0,14657.5,20573.5,13813.5,19305.0,22996.5,20489.5
rGD3_ferret12_day03_rep1,51905.5,66715.5,65746.5,86122.0,45804.0,57801.0,76527.5,83593.5
rGD3_ferret12_day05_rep1,70362.5,76683.5,73548.5,83005.0,61631.5,80125.0,82524.0,89303.0
rGD3_ferret13_day01_rep1,17381.5,19074.0,15759.0,23512.5,16889.0,20147.5,27086.0,24763.5
rGD3_ferret13_day03_rep1,17518.0,16773.5,15600.5,21431.0,16162.0,25901.5,24974.5,27232.5
rGD3_ferret13_day05_rep1,18337.0,18977.5,15996.5,22694.5,17013.0,23375.5,25383.0,25730.0
rGD3_ferret15_day01_rep1,17917.0,19140.0,16911.5,20433.0,14090.5,18843.0,19284.0,27533.0
rGD3_ferret15_day03_rep1,17388.0,18144.5,19542.0,24075.0,15014.5,17931.0,23144.0,22151.0
rGD3_ferret15_day05_rep1,19809.5,24395.0,22141.5,25296.5,19143.5,22966.0,25292.0,30384.0
rGD3_ferret15_day07_rep1,8349.0,36220.5,40767.0,40789.5,26231.5,,11918.0,41034.5
rGD3_ferret16_day03_rep1,59106.5,60278.0,65313.5,67106.0,49256.0,65154.5,76398.0,77556.0
rGD3_ferret16_day05_rep1,35512.0,37132.0,37347.0,45165.5,32127.0,38768.0,54762.5,56841.0
rGD3_ferret16_day07_rep1,67212.0,78602.0,80752.0,106851.5,65328.0,43200.5,96921.0,90834.0
rGD3_ferret17_day01_rep1,20749.0,23287.0,21816.5,33127.5,18519.5,23930.0,29553.0,28960.5
rGD3_ferret17_day03_rep1,32117.0,58507.5,55518.5,66236.0,41697.5,39714.5,59718.0,50337.5
rGD3_ferret17_day05_rep1,32038.0,47379.5,51999.0,58054.5,33980.0,36887.5,48512.0,45390.5
rGD3_ferret17_day07_rep1,32064.5,43497.0,45444.5,46449.0,32086.5,30068.5,46517.0,49184.5
rGD3_ferret18_day11_rep1,46763.0,56120.5,54699.5,74386.0,49075.0,48660.0,,111808.0
rGD3_ferret18_day13_rep1,56691.5,67995.0,73892.5,81388.5,55972.0,89624.0,77585.5,90555.5
rGD3_ferret18_day15_rep1,44018.0,50580.5,47647.5,55201.5,43824.0,49030.5,59811.5,69309.0
rGD3_ferret19_day01_rep1,40890.5,70916.5,59181.5,66167.0,43710.5,53543.5,61659.5,64294.0
rGD3_ferret19_day03_rep1,38188.0,61747.5,50173.0,53364.0,43617.5,37018.5,55669.5,58883.5
rGD3_ferret19_day05_rep1,22105.0,36436.0,51351.0,39730.0,22592.0,25023.0,33416.0,44607.5
rGD3_ferret21_day01_rep1,46861.0,63638.0,51829.5,73888.5,45246.0,51557.5,67427.5,45541.0
rGD3_ferret21_day03_rep1,39809.5,53462.0,46649.5,46699.0,38614.0,35493.5,49879.5,49820.0
rGD3_ferret21_day05_rep1,61836.5,70757.5,68601.5,75211.0,56869.0,46956.5,66249.0,71569.0
rGD3_ferret22_day03_rep1,52642.0,1362.0,72681.5,56135.5,54633.0,48649.5,75745.5,84650.0
rGD3_ferret22_day05_rep1,94180.0,112115.5,74466.5,143093.5,92768.5,115401.0,113107.5,140139.5
rGD3_ferret22_day07_rep1,181755.5,68067.5,70279.5,111872.0,64972.0,63948.0,107806.5,106085.5
rGD3_ferret22_day09_rep1,71907.5,69778.0,71870.0,80345.0,65839.5,,85629.0,77393.0
rGD3_ferret23_day01_rep1,28895.0,33943.5,41615.5,35656.0,29793.5,28767.0,43000.0,43639.5
rGD3_ferret23_day03_rep1,51923.0,61253.5,62471.0,66510.0,62906.0,50966.0,70617.5,75289.0
rGD3_ferret23_day05_rep1,54578.0,69752.5,73625.5,85610.0,61698.0,56448.5,65432.5,69867.0
rGD3_ferret23_day07_rep1,27315.0,54439.5,50194.5,59925.0,45928.0,,54771.0,63807.5
