file	product	site	LOG
NA	NA	NA	SNPGenie initiated at local time Mon Jan 24 01:09:07 2022
temp_vcf4_GD3_stock.vcf	NA	NA	The reads total should equal the coverage (842216499,53,2,4,255) but is instead: 875837745. The reads total has been used. Please verify your data.
temp_vcf4_GD3_stock.vcf	NA	NA	The reads total should equal the coverage (859125555,53,2,4,255) but is instead: 960060610. The reads total has been used. Please verify your data.
temp_vcf4_GD3_stock.vcf	NA	NA	The reads total should equal the coverage (825505075,52,2,4,255) but is instead: 925972207. The reads total has been used. Please verify your data.
temp_vcf4_GD3_stock.vcf	NA	NA	The reads total should equal the coverage (842020914,57,2,4,255) but is instead: 942946202. The reads total has been used. Please verify your data.
temp_vcf4_GD3_stock.vcf	NS1	253	There is a variant frequency <0.01%. If this was unexpected, make sure that the values in the "Frequency" column are percentages, not decimals.
temp_vcf4_GD3_stock.vcf	NA	253	Variant 'T' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NA	274	Variant 'A' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NA	357	Variant 'A' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NA	380	Variant 'C' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NA	436	Variant 'T' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NA	537	Variant 'A' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NA	609	Variant 'A' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NA	617	Variant 'T' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NA	N/A	A total of 8 variants have been excluded because they fall below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NEP	537	Variant 'A' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NEP	609	Variant 'A' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NEP	617	Variant 'T' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NEP	N/A	A total of 3 variants have been excluded because they fall below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NS1	253	Variant 'T' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NS1	274	Variant 'A' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NS1	357	Variant 'A' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NS1	380	Variant 'C' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NS1	436	Variant 'T' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NS1	537	Variant 'A' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NS1	609	Variant 'A' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NS1	617	Variant 'T' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NS1	N/A	A total of 8 variants have been excluded because they fall below the minimum minor allele frequency
NA	NA	NA	SNPGenie completed at local time Mon Jan 24 01:09:42 2022. The process took 35.00 secs, i.e., 0 mins and 35.00 secs
