file	product	site	LOG
NA	NA	NA	SNPGenie initiated at local time Mon Jan 24 01:07:50 2022
temp_vcf4_GD3_stock.vcf	NA	NA	The reads total should equal the coverage (858992689,55,4,4,255) but is instead: 942756741. The reads total has been used. Please verify your data.
temp_vcf4_GD3_stock.vcf	NA	NA	The reads total should equal the coverage (875641145,0,2,4,188) but is instead: 926429820. The reads total has been used. Please verify your data.
temp_vcf4_GD3_stock.vcf	NA	NA	The reads total should equal the coverage (808597553,49,2,4,113) but is instead: 909129739. The reads total has been used. Please verify your data.
temp_vcf4_GD3_stock.vcf	NA	NA	The reads total should equal the coverage (825571377,49,4,4,255) but is instead: 909536459. The reads total has been used. Please verify your data.
temp_vcf4_GD3_stock.vcf	HA	410	There is a variant frequency <0.01%. If this was unexpected, make sure that the values in the "Frequency" column are percentages, not decimals.
temp_vcf4_GD3_stock.vcf	NA	410	Variant 'A' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NA	416	Variant 'T' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NA	580	Variant 'C' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NA	607	Variant 'T' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NA	859	Variant 'A' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NA	1324	Variant 'C' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NA	1479	Variant 'A' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NA	1497	Variant 'T' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	NA	N/A	A total of 8 variants have been excluded because they fall below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	HA	410	Variant 'A' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	HA	416	Variant 'T' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	HA	580	Variant 'C' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	HA	607	Variant 'T' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	HA	859	Variant 'A' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	HA	1324	Variant 'C' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	HA	1479	Variant 'A' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	HA	1497	Variant 'T' excluded from analysis because it falls below the minimum minor allele frequency
temp_vcf4_GD3_stock.vcf	HA	N/A	A total of 8 variants have been excluded because they fall below the minimum minor allele frequency
NA	NA	NA	SNPGenie completed at local time Mon Jan 24 01:08:44 2022. The process took 54.00 secs, i.e., 0 mins and 54.00 secs
