	SNP	day1	day3	day5	day7
0	HA_C432A_D144E	0.26195	0.29710000000000003	0.47175	0.6921999999999999
1	HA_A436G_N146D	0.02045	0.0141	0.0209	0.0
2	HA_G442A_G148S	0.0105	0.0	0.0	0.0
3	NS1_G459A_syn	0.01705	0.016800000000000002	0.03565	0.07155
4	HA_A475G_K159E	0.02995	0.0	0.0	0.0
5	HA_A513G_syn	0.01835	0.0	0.0	0.0
6	HA_G515A_G172E	0.0567	0.03145	0.0204	0.0
7	HA_T598C_S200P	0.2584	0.29025	0.35810000000000003	0.66445
8	HA_C622A_L208I	0.27335	0.2355	0.15084999999999998	0.05115
9	PA_A624G_syn	0.05805	0.06760000000000001	0.04415	0.1775
10	HA_C635A_A212E	0.02435	0.01705	0.0128	0.0
11	HA_A640G_T214A	0.0436	0.034	0.0447	0.01295
12	HA_A677C_K226T	0.0247	0.0189	0.0	0.0
13	HA_C695T_A232V	0.02035	0.0	0.0	0.0
14	PB1_G735A_syn	0.0256	0.0627	0.0	0.0
15	HA_C839T_S280F	0.01535	0.01155	0.0	0.01235
16	NP_G885A_syn	0.0211	0.0274	0.02615	0.0626
17	NP_C765T_syn	0.0	0.0258	0.02055	0.0
18	PB1_A871G_T291A	0.0	0.0227	0.0	0.0
19	PB1_G1978A_V660I	0.0	0.01825	0.0	0.0
20	NP_G47A_G16D	0.0	0.0	0.011000000000000001	0.0
21	HA_G469A_G157R	0.0	0.0	0.0158	0.0
22	HA_G1071T_syn	0.0	0.0	0.0196	0.012
23	PA_G1085A_R362K	0.0	0.0	0.01555	0.0
24	PA_T1170C_syn	0.0	0.0	0.0213	0.0
25	PA_G1407A_syn	0.0	0.0	0.0228	0.0
26	HA_C1584T_syn	0.0	0.0	0.0185	0.0
27	NP_T84A_syn	0.0	0.0	0.0	0.016649999999999998
28	NP_G149A_S50N	0.0	0.0	0.0	0.0786
29	NP_G309A_syn	0.0	0.0	0.0	0.0265
30	NEP_A531G_Q20R	0.0	0.0	0.0	0.05715
31	NS1_A531G_syn	0.0	0.0	0.0	0.05715
32	HA_G715A_D239N	0.0	0.0	0.0	0.1086
33	HA_A716G_D239G	0.0	0.0	0.0	0.2335
